,Time,User,Tweet
0,2022-11-05 05:49:20+00:00,NBA,"🪄 @luka7doncic logged his 8th straight 30+ point game to start the season in the @dallasmavs win! #MFFL

🔥 35 PTS,… https://t.co/aOGyUi58qR"
1,2022-11-05 05:44:24+00:00,NBA,"🎵 @MarkkanenLauri dropped a double-double as the @utahjazz got the win on the road in LA! #TakeNote

27 PTS | 13 RE… https://t.co/uWysyC7TrY"
2,2022-11-05 05:37:55+00:00,NBA,"Jrue Holiday led the @Bucks in scoring as they improved to 8-0! #FearTheDeer

🔒 @Jrue_Holiday11: 29 PTS, 8 REB, 6 A… https://t.co/1kddFZh2YH"
3,2022-11-05 05:37:06+00:00,NBA,"KD dropped 28 PTS, 9 REB, and 11 AST in the @BrooklynNets win!

Nic Claxton: 18 PTS, 9 REB
Bradley Beal: 20 PTS

Fo… https://t.co/08TMkwBzni"
4,2022-11-05 05:30:59+00:00,NBA,"Jerami Grant dropped 30 PTS and a wild game-winner as the @trailblazers improved to 6-2 on the season!

Devin Booke… https://t.co/zyZuD3BXJe"
5,2022-11-05 05:29:31+00:00,NBA,"RT @UCLAMBB: 2️⃣9️⃣ points, 8️⃣ rebounds and 6️⃣ assists from @Jrue_Holiday11 on Friday, in a win versus Minnesota. 

🏀🎥 via @Bucks

#NBABr…"
6,2022-11-05 05:28:10+00:00,NBA,"27 PTS from Lauri Markkanen drove the @utahjazz to the road win in LA!

Jordan Clarkson: 20 PTS, 7 REB, 3 AST
Russe… https://t.co/9zKoUrVEul"
7,2022-11-05 05:28:07+00:00,NBA,Giannis and KAT share a moment postgame #PhantomCam https://t.co/6qKNENZux4
8,2022-11-05 05:25:33+00:00,NBA,"""I don't know how I made that""

Watch as Luka Doncic breaks down his 2 unbelievable highlights in the @dallasmavs w… https://t.co/m24Z9ZaFyz"
9,2022-11-05 05:21:46+00:00,NBA,"RT @NBAHistory: Giannis Antetokounmpo (26 points, 14 rebounds, 11 assists) has recorded his 30th triple-double of his career, passing Grant…"
10,2022-11-05 05:13:08+00:00,NBA,"Giannis dropped a triple-double complete with 26 PTS, 14 REB, and 11 AST as the @Bucks continued their unbeaten sta… https://t.co/44b91MEIrW"
11,2022-11-05 05:12:14+00:00,NBA,RT @Timberwolves: from growing up together to the league 💙 https://t.co/IeckkriUZa
12,2022-11-05 05:00:32+00:00,NBA,"Jerami Grant in the @trailblazers win tonight:

🔥 30 PTS
🔥 5 AST
🔥 #TissotBuzzerBeater for the win!

#RipCity https://t.co/QEvBNPzgtE"
13,2022-11-05 05:00:05+00:00,CNN,"A fugitive's Walt Disney World vacation ended behind bars after a federal official spotted him at Animal Kingdom.
https://t.co/nD0G7rNDcS"
14,2022-11-05 04:57:19+00:00,espn,"Giannis and Jrue were unstoppable vs. the Wolves.

Milwaukee has its first 8-0 start in franchise history 📈 https://t.co/k72EG3OxpQ"
15,2022-11-05 04:44:23+00:00,NBA,The @trailblazers join Jerami Grant in his postgame interview after his #TissotBuzzerBeater 🔥 https://t.co/DRV1nHOFuc
16,2022-11-05 04:41:57+00:00,NBA,"Brandon Ingram led the @PelicansNBA in scoring as they got the W and moved to 5-3 on the season!

CJ McCollum: 20 P… https://t.co/ywnD6GmC36"
17,2022-11-05 04:40:52+00:00,NBA,Jerami Grant comes up CLUTCH in the closing moments for the @trailblazers! #TissotBuzzerBeater #ThisIsYourTime https://t.co/0hqjivZ3xN
18,2022-11-05 04:33:26+00:00,NBA,JERAMI GRANT HITS THE #TissotBuzzerBeater FOR THE @trailblazers WIN! #ThisIsYourTime https://t.co/eGDutm11gA
